,Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score,model,LR
229,ESN,sorting_problem,small,10000,3000,9,classification,,0.4449999999999999,esn_10k_small,
230,ESN,cross_situation,small,10000,18000,0,multi_classification,,0.0077777777777777,esn_10k_small,
231,ESN,cross_situation,small,10000,18000,1,multi_classification,,0.0088888888888888,esn_10k_small,
232,ESN,cross_situation,small,10000,18000,2,multi_classification,,0.0094444444444444,esn_10k_small,
233,ESN,cross_situation,small,10000,18000,3,multi_classification,,0.0066666666666667,esn_10k_small,
234,ESN,cross_situation,small,10000,18000,4,multi_classification,,0.0188888888888888,esn_10k_small,
235,ESN,cross_situation,small,10000,18000,5,multi_classification,,0.0138888888888888,esn_10k_small,
236,ESN,cross_situation,small,10000,18000,6,multi_classification,,0.0044444444444444,esn_10k_small,
237,ESN,cross_situation,small,10000,18000,7,multi_classification,,0.0066666666666667,esn_10k_small,
238,ESN,cross_situation,small,10000,18000,8,multi_classification,,0.016111111111111,esn_10k_small,
239,ESN,cross_situation,small,10000,18000,9,multi_classification,,0.0188888888888888,esn_10k_small,
240,ESN,sinus_forecasting,medium,1000,100,0,regression,,3.6867649164853814e-05,esn_1k_medium,
241,ESN,sinus_forecasting,medium,1000,100,1,regression,,1.9644968302917527e-05,esn_1k_medium,
242,ESN,sinus_forecasting,medium,1000,100,2,regression,,2.019070207733435e-05,esn_1k_medium,
243,ESN,sinus_forecasting,medium,1000,100,3,regression,,6.981907304911586e-05,esn_1k_medium,
244,ESN,sinus_forecasting,medium,1000,100,4,regression,,2.2240102379177575e-05,esn_1k_medium,
245,ESN,sinus_forecasting,medium,1000,100,5,regression,,2.0904229122608888e-05,esn_1k_medium,
246,ESN,sinus_forecasting,medium,1000,100,6,regression,,2.0203745703780483e-05,esn_1k_medium,
247,ESN,sinus_forecasting,medium,1000,100,7,regression,,3.9683810702239795e-05,esn_1k_medium,
248,ESN,sinus_forecasting,medium,1000,100,8,regression,,1.5615094731231925e-05,esn_1k_medium,
249,ESN,sinus_forecasting,medium,1000,100,9,regression,,3.0485726029303592e-05,esn_1k_medium,
250,ESN,chaotic_forecasting,medium,1000,300,0,regression,,0.000217224602454,esn_1k_medium,
251,ESN,chaotic_forecasting,medium,1000,300,1,regression,,0.0011050451149311,esn_1k_medium,
252,ESN,chaotic_forecasting,medium,1000,300,2,regression,,0.0002696068340789,esn_1k_medium,
253,ESN,chaotic_forecasting,medium,1000,300,3,regression,,0.000323621542755,esn_1k_medium,
254,ESN,chaotic_forecasting,medium,1000,300,4,regression,,0.0004362021820094,esn_1k_medium,
255,ESN,chaotic_forecasting,medium,1000,300,5,regression,,0.0004543984922282,esn_1k_medium,
256,ESN,chaotic_forecasting,medium,1000,300,6,regression,,0.0007889270005116,esn_1k_medium,
257,ESN,chaotic_forecasting,medium,1000,300,7,regression,,0.0004880770753421,esn_1k_medium,
258,ESN,chaotic_forecasting,medium,1000,300,8,regression,,0.0003473653622354,esn_1k_medium,
259,ESN,chaotic_forecasting,medium,1000,300,9,regression,,0.0002899933533401,esn_1k_medium,
260,ESN,discrete_postcasting,medium,1000,800,0,classification,,0.6444,esn_1k_medium,
261,ESN,discrete_postcasting,medium,1000,800,1,classification,,0.6269764705882352,esn_1k_medium,
262,ESN,discrete_postcasting,medium,1000,800,2,classification,,0.630929411764706,esn_1k_medium,
263,ESN,discrete_postcasting,medium,1000,800,3,classification,,0.6300117647058823,esn_1k_medium,
264,ESN,discrete_postcasting,medium,1000,800,4,classification,,0.6420117647058823,esn_1k_medium,
265,ESN,discrete_postcasting,medium,1000,800,5,classification,,0.6330352941176471,esn_1k_medium,
266,ESN,discrete_postcasting,medium,1000,800,6,classification,,0.6374,esn_1k_medium,
267,ESN,discrete_postcasting,medium,1000,800,7,classification,,0.6331882352941176,esn_1k_medium,
